"category","termy"
"29","century, king, family, royal, ii, prince, early, roman, queen, empire, son, period, england, kingdom, 19th, st, duke, kings, modern, house, william, bc, charles, 20th, death, died, lord, iii, father, late, emperor, henry, john, ancient, dates, medieval, princess, dynasty, era, ad, george, age, sir, scotland, crown, earl, france, 1st, edward, centuries, succession, middle, 18th, grand, castle, daughter, ages, wife, historians, reign, rome, elizabeth, throne, iv, married, alexander, louis, clan, existed, birth, wales, mother, palace, byzantine, held, bce, brother, mary, dating, monarch, baron, 16th, 17th, noble, ruled, count, earliest, lived, lady, james, sons, 2nd, knights, imperial, marriage, monarchs, surname, thomas, vi, 3rd, rulers, arms, ruler, nobility, descendants, maria, britain, oldest, monarchy, 4th, pope, heir, scottish, anne, holy, abbey, italy, romans, 14th, king's, tradition, victoria, philip, chronology, descent, founded, sister, contemporary, 5th, bishop, duchess, 6th, caesar, historian, younge"
"37","team, football, world, league, club, game, players, season, player, teams, won, played, match, games, cup, sports, play, award, year, awards, record, national, win, event, championship, sport, career, clubs, points, baseball, competition, matches, rules, chess, tournament, final, playing, hockey, events, race, stadium, prize, professional, winning, champion, international, round, records, ball, rugby, grand, goals, olympic, winner, winners, stats, coach, olympics, home, goal, cricket, score, division, wins, seasons, tour, medal, basketball, champions, soccer, fans, championships, wrestling, summer, nhl, scored, premier, held, association, rivalry, tennis, leagues, bowl, wwe, fc, australian, fan, gold, stage, nfl, awarded, pro, ice, competitions, highest, squad, athletes, conference, statistics, super, plays, amateur, nba, women's, card, scores, uefa, 1st, tournaments, fifa, finished, men's, medals, races, nobel, ncaa, finals, announced, nickname, beat, 2nd, fight, junior, hall, roster, slam, winter, scoring, "
"9","page, title, move, disambiguation, moved, redirect, wp, requested, names, common, naming, discussion, titles, change, support, oppose, pages, current, topic, primary, redirects, conventions, moving, convention, proper, dab, rename, named, usage, :d, request, renaming, refer, renamed, spelling, =d, consensus, sign, reasons, propose, commonly, proposal, shouldn't, referred, survey, disambig, moves, additional, mos, capitalized, titled, capitalization, hatnote, proposed, commonname, iscussion, follow, wikipedia's, taking, redirected, consistent, ambiguous, beginning, changing, account, rm, consistency, confusion, disambiguate, caps, article's, substitute, capital, objections, hyphen, target, prefer, lowercase, disambiguated, vote, preferred, acronym, polling, spelled, unnecessary, searching, manual, redirecting, generic, admin, noun, surname, english-language, progress, capitalised, capitalize, formal, distinguish, letters, preference, abbreviation, ab, capitalisation, pointing, objection, meanings, singular, is"
"33","review, section, comments, link, add, ga, talk, edit, good, transcluded, ga1, i'll, reviewer, issues, lead, sentence, hold, pass, ref, fixed, addressed, days, status, reviews, reviewing, ->, reception, problems, nomination, fa, comma, concerns, fix, prose, sentences, nice, reassessment, sounds, peer, couple, gan, minor, refs, reviewed, missing, suggestions, dead, address, cheers, featured, fac, happy, wikilink, passing, paragraphs, #the, quick, initial, passed, resolved, awkward, critical, dyk, luck, copyedit, nominated, shortly, raised, reword, excellent, ready, ;), ga2, reviewers, assessment, nominator, italics, delisted, placing, punctuation, congrats, gar, quotation, inline, drop, progress, improvements, lede, begin, publisher, alright, meets, copyediting, marks, ensure, congratulations, commas, tomorrow, referencing, fixing, b-class, mixed, well-written, nominations, italicized, wikilinked, promote, stability, task, ;p, nom, formatted, addressing, tense, promoted, fixes, glance, promotion, brackets, repe"
"27","section, information, paragraph, history, lead, sections, sentence, removed, references, text, bit, important, summary, detail, main, details, relevant, paragraphs, short, entire, sentences, needed, citations, introduction, intro, expanded, structure, body, rest, detailed, background, trivia, lede, context, expansion, reader, rewrite, points, cleanup, overview, events, heading, suggestions, opening, improve, parts, expand, cut, minor, subsection, plot, improved, referenced, career, length, focus, covered, culture, reads, additional, thoughts, rewritten, unsourced, belong, unnecessary, controversy, notes, quotes, article's, summarize, redundant, beginning, irrelevant, timeline, mentioning, flow, improvement, encyclopedic, belongs, impact, undue, clean, ideas, headings, relevance, introductory, plan, poorly, stands, key, unreferenced, expanding, excessive, subsections, items, describing, significance, para, explaining, contents, improvements, concise, revised, revision, cleaned, outline, briefly, additions, hea"
"0","people, israel, jewish, india, indian, jews, ethnic, group, white, african, culture, arab, muslim, black, east, israeli, turkish, groups, islam, race, persian, west, population, south, armenian, islamic, palestinian, pakistan, iran, africa, palestine, middle, origin, peoples, muslims, native, region, western, ancient, turkey, asia, asian, tribe, european, iranian, tribes, al, khan, ethnicity, empire, arabs, arabic, land, ali, ottoman, jerusalem, americans, eastern, racial, greek, cultural, indians, egypt, syria, ancestry, turks, armenia, muhammad, central, indigenous, nation, europe, ibn, azerbaijan, origins, identity, racist, descent, greeks, northern, heritage, religion, southern, afghanistan, slave, palestinians, syrian, territories, turkic, communities, speak, slaves, egyptian, nations, genetic, mixed, armenians, lebanon, kurdish, mosque, occupied, caste, bank, racism, populations, blacks, slavery, minority, europeans, tribal, hispanic, scholars, ancestors, hindu, lived, iraq, saudi, occupation, abu, sult"
"18","music, song, album, band, songs, rock, single, albums, metal, released, genre, bands, release, musical, track, chart, lyrics, sound, record, artist, recording, artists, label, dance, records, pop, singles, cover, recorded, cd, discography, live, tour, charts, guitar, played, opera, performance, love, tracks, performed, musicians, singer, punk, video, popular, notes, jazz, sales, genres, concert, play, piano, studio, instrument, solo, instruments, classical, playing, recordings, folk, bass, composer, alternative, radio, piece, ep, billboard, beatles, singing, musician, composition, releases, hop, blues, band's, score, scene, sold, heavy, hit, composers, voice, fans, orchestra, allmusic, vocal, hip, hot, labels, hardcore, vocals, symphony, covers, roll, performances, influence, listen, soundtrack, rolling, success, produced, lp, itunes, theme, chord, drum, instrumental, singers, scale, compilation, greatest, styles, charted, progressive, sung, pitch, composed, influenced, rap, strings, indie, pieces, ballet, de"
"1","english, language, word, spelling, languages, translation, names, words, french, latin, correct, japanese, version, form, greek, pronunciation, common, chinese, german, native, meaning, speakers, translated, pronounced, russian, standard, sound, italian, dialect, speak, spoken, translations, dictionary, modern, speaker, grammar, letters, spanish, letter, translate, usage, dialects, script, etymology, arabic, spelled, speaking, origin, swedish, ipa, transliteration, accent, alphabet, spellings, vowel, linguistic, foreign, forms, dutch, plural, pronounce, hebrew, welsh, ancient, variant, english-language, linguistics, spell, versions, derived, germanic, vowels, speech, commonly, sanskrit, transcription, romanization, verb, surname, variants, classical, literal, differences, equivalent, korean, translating, syllable, phonetic, finnish, symbols, orthography, consonant, linguists, hindi, variety, cyrillic, texts, root, literally, accents, thai, phonology, dictionaries, spelt, gaelic, pinyin, diacritics, spoke, non"
"23","book, books, published, reference, author, journal, read, written, paper, edition, works, library, press, magazine, cited, publication, online, isbn, times, wrote, authors, quote, literature, publications, cite, volume, papers, reading, access, academic, story, publisher, chapter, copy, historical, york, newspaper, writing, journals, publishing, bibliography, pp, print, writer, scholarly, notes, mentions, printed, reviews, collection, stories, vol, biography, quotes, quoted, historian, editions, publishers, oxford, poem, magazines, guide, literary, amazon, newspapers, fiction, scholar, ed, cites, studies, writers, archives, reviewed, poetry, letters, checked, copies, writes, volumes, libraries, footnote, letter, document, contemporary, author's, peer, chapters, novels, peer-reviewed, publish, poet, scholars, editorial, 1998, manuscript, documents, professor, poems, collections, cambridge, daily, texts, book's, printing, essay, writings, 2001, respected, 1999, quotation, 1995, weekly, collected, catalog, thesi"
"26","wikipedia, pov, point, view, npov, neutral, opinion, criticism, written, subject, facts, encyclopedia, issue, personal, biased, editors, tone, interest, policy, views, opinions, neutrality, bias, issues, factual, controversy, entry, matter, negative, editing, conflict, writing, statements, controversial, encyclopedic, dispute, points, readers, weight, reader, balanced, objective, wikipedia's, reads, balance, undue, positive, piece, presented, disagree, policies, standards, debate, attempt, quotes, highly, critical, criticisms, response, arguments, irrelevant, perspective, personally, concerns, respect, sides, inappropriate, promotional, critics, reflect, attention, accuracy, effort, disputed, manner, strongly, advertisement, giving, viewpoint, agenda, rewrite, promote, subjective, coi, unbiased, poorly, contributions, extremely, inaccurate, editorial, contribute, presenting, stating, controversies, maintain, informative, pushing, persons, weasel, represent, non-neutral, matters, heavily, propaganda, contribut"
"4","image, picture, photo, images, pictures, art, photos, map, show, logo, shows, commons, file, caption, museum, gallery, infobox, nice, cover, showing, upload, pic, size, photograph, arms, painting, quality, shown, replaced, illustration, camera, replace, =p, display, screen, visual, coat, illustrate, photographs, shot, maps, pics, portrait, resolution, uploaded, drawing, graphic, artist, looked, diagram, bottom, face, photography, artists, collection, paintings, svg, statue, png, front, eye, visible, displayed, logos, seal, photographer, illustrations, drawn, smaller, wikimedia, screenshot, galleries, domain, replacing, poster, scan, painted, flickr, sculpture, symbol, representative, artwork, museums, uploading, represent, artistic, projection, shots, thumbnail, shield, thumb, license, replacement, nfcc, drawings, cropped, pixels, illustrating, depicted, emblem, icon, exhibition, shape, corner, depiction, labeled, depict, graphics, monument, illustrates, animation, angle, photographic, lens, beautiful, sizes,"
"3","de, la, spanish, le, en, french, el, se, les, na, spain, des, portuguese, du, da, del, ha, es, di, puerto, san, sa, si, est, paris, mexico, il, ne, los, brazil, france, fr, brazilian, mexican, ng, al, catalan, italian, ch, je, argentina, pour, juan, par, ve, rico, portugal, rio, para, te, santa, ti, pa, po, con, las, su, pas, tr, au, carlos, ma, sur, une, qui, por, facto, pr, ta, dans, philippines, qu, chile, lo, costa, ce, catalonia, una, ar, ra, fran, ko, mi, basque, ka, rican, ang, peru, em, argentine, che, ki, ni, ou, mo, ho, francisco, ci, res, os, tre, madrid, antonio, chateau, manuel, tu, pe, barcelona, maria, grande, jose, nous, translate, rica, manila, espa, luis, como, colombia, miguel, pedro, pierre, buenos, za, cu, cr, ca, marco, din, aires, jos, mas, ke, dia, dos, andr, castilian, jean, ya, li, mais, vi, va, dhe, santiago, della, valencia, . .., avec, diego, nh, nom, dom, vous, um, jure, tienne, lisbon, bec, sont, paulo, ez, filipino, peruvian, od, nos, pd, rey, br, cuba, sans, mar, ol, ais, ja, "
"24","british, country, countries, states, american, united, ireland, uk, flag, irish, canada, europe, polish, russian, failed, world, america, australia, south, european, north, republic, england, britain, kingdom, canadian, russia, national, northern, islands, union, french, poland, germany, france, australian, nationality, island, born, zealand, usa, international, nations, scottish, scotland, western, soviet, africa, italy, nation, ukrainian, flags, dutch, territory, citizenship, southern, italian, eastern, ukraine, netherlands, region, sweden, independence, central, east, swedish, norway, wales, eu, relations, isles, empire, citizen, finland, regions, commonwealth, americans, territories, foreign, spain, quebec, czech, belgium, denmark, poles, norwegian, georgia, nz, province, china, welsh, citizens, germans, sovereign, native, japan, asia, entity, colony, belgian, colonies, baltic, lithuanian, finnish, lithuania, prussia, provinces, passport, african, border, continent, continental, lived, russians, danish, c"
"14","german, pie, die, lots, :d, dont, germany, der, von, im, van, hitler, mistake, dutch, und, ah, translation, corrected, berlin, forgot, er, doesnt, swiss, nazi, isnt, errors, didnt, oops, ist, das, translated, on't, typo, ss, karl, btw, den, gr, um, des, danish, determine, hans, ps, vienna, als, austrian, jan, translate, lol, mit, id, germans, oes, austria, ein, carl, ;-), hat, zu, reich, franz, aka, max, switzerland, fr, ;), ernst, mistakes, whats, ages, nazis, wasnt, eine, dem, sweden, aus, ll, ive, ill, norwegian, ludwig, apologize, shouldnt, nr, :), correction, nope, wont, som, adolf, gong, ooo, dan, teh, til, pls, nevermind, friedrich, ear, es, sch, sie, clearing, wilhelm, het, op, munich, forget, orphaned, belive, ya, apologies, bavaria, auf, og, sp, ber, falun, dat, da, det, strauss, till, amsterdam, ger, otto, effectively, hitler's, deutsche, wat, nicht, ge, alot, wich, felix, plz, =), ich, pl, hess, fu, andreas, fischer, rt, diedie, graf, rudolf, adam, johann, ther, artical, auch, stockholm, isagree, "
"21","):, images, #it, review, :p, edit, fair, ga, written, references, major, accurate, prose, neutral, criteria, coverage, mos, broad, fail, verifiable, stable, reliable, aspects, citations, suitable, #is, factually, tagged, bias, focused, lead, view, comments, wars, representation, non-free, captions, ass, policy, rationales, illustrated, topic, #overall, check, provided, layout, lists, transcluded, pass, lease, ga1, fiction, hold, reviewer, status, quality, illustrate, compliance, choice, watch, erhaps, wiaga, #does, :(, grammar, #if, passes, well-written, concise, copyvios, robably, fixes, suck, deserving, challenged, promoted, in-line, appropriately, captioned, complies, exclude, addresses, stays, #ifeq, alt, ersonally, congratulations, ossibly, incorporation, rewording, counter-intuitive, oint, stepping, #broad, viewpoints, #neutral, #stable, offence, #well-written, #factually, preventing, #illustrated, :*p, notify, appended, paraphrasing, sms, eventual, genuinely, maliciously, achieving, unneeded, tick, sci"
"12","building, food, house, water, oil, tower, buildings, gold, stone, iron, glass, wine, production, hot, construction, wood, products, brand, hotel, beer, silver, trade, meat, store, built, industry, room, houses, architecture, product, steel, coffee, fire, sold, drink, garden, milk, materials, bar, 999, plant, restaurant, tea, wall, floor, ground, market, cheese, rice, eat, cuisine, fruit, chain, salt, shop, ice, bread, sugar, bell, chicken, coin, stores, dish, commercial, tree, coins, stones, price, cream, mining, produced, restaurants, sweet, diamond, towers, cooking, trees, buy, taste, architectural, fish, raw, walls, farm, leaves, grain, corn, copper, mill, structures, variety, foods, shopping, mine, served, coal, dry, eating, recipe, farming, wheat, drinking, plastic, sell, sand, egg, soil, spring, deep, expensive, rocks, produce, plants, gardens, shops, agriculture, supply, agricultural, selling, bought, industrial, factory, cotton, bottle, grow, rooms, fresh, ingredients, fat, beef, pot, cold, owner, sal"
"45","city, town, area, county, population, district, local, cities, village, region, map, census, areas, council, places, towns, hungarian, serbian, historic, province, urban, districts, serbia, romanian, croatian, london, municipality, counties, community, bulgarian, albanian, boundaries, greek, administrative, villages, west, settlement, metropolitan, parish, croatia, maps, live, location, serbs, macedonian, capital, kosovo, greater, regional, largest, castle, romania, hungary, borough, communities, macedonia, albania, serb, ethnic, residents, municipalities, manchester, regions, greece, centre, figures, statistics, territory, municipal, geographical, bulgaria, rural, central, geography, bosnian, located, yugoslavia, mayor, larger, settlements, township, slavic, suburb, divisions, bosnia, wales, division, montenegro, authority, inhabitants, yorkshire, officially, geographic, albanians, hall, lived, slovak, croats, borders, ward, existed, entity, border, incorporated, demographics, minority, valley, suburbs, bulg"
"44","party, political, election, group, movement, government, groups, support, members, politics, vote, parties, liberal, conservative, national, organization, left, communist, social, rights, elections, economic, freedom, campaign, member, democratic, candidates, republican, candidate, opposition, votes, democracy, leader, revolution, power, union, voting, views, socialist, president, organizations, bush, scout, speech, majority, labour, ideology, labor, workers, radical, leaders, association, elected, economy, politicians, poll, presidential, organisation, obama, supporters, reform, seats, membership, opposed, movements, wing, society, parliament, communism, socialism, abortion, economics, communists, alliance, civil, libertarian, soviet, voted, democrats, progressive, policies, seat, positions, congress, scouting, right-wing, anarchist, politically, electoral, nationalist, coalition, voters, trade, capitalism, polls, republicans, nationalism, leadership, liberals, label, committee, opponents, leading, politicia"
"15","notable, notability, wp, deletion, articles, subject, deleted, tag, significant, coverage, criteria, afd, importance, guidelines, independent, speedy, person, meet, wikiproject, inclusion, delete, stub, establish, lack, meets, contested, project, guideline, class, standards, event, multiple, tags, rating, bio, proposed, sufficient, significance, prod, tagged, non-notable, wikipedia's, encyclopedic, improve, established, speedily, fails, attention, biography, requirements, secondary, promotional, nominated, criterion, assessment, article's, received, low, asserted, rs, nomination, warrant, nominate, qualify, worthy, rated, coi, sourcing, merit, improved, projects, subject's, cleanup, third-party, trivial, tagging, impact, substantial, awards, gng, advertising, concern, demonstrate, satisfy, sufficiently, csd, noteworthy, automatically, grounds, biographies, lacks, advertisement, assert, creator, candidate, creation, assessed, passing, met, requirement, biographical, non-trivial, indication, deserves, deserve, "
