"category","termy"
"47","shuki levy online, shuki's, pof.com, wijikipedia, http://culverland.com, http://freediversafety.com, jfd, rinbad, mojang's, tenje, g35x, korra-era, webmaster's, mycroft, cluskey, multied, spirtus, kargatane, chordiant, as-61r, @dagstuhl, johncmdp, postmark, vercipia, launay's, bahir, webbook, petsyclopedia, s'accroupissent, mccubbins, al-shiri, movsessian, http://around.uoregon.edu, kohw, azari's, #p42 4745, corticosteroid-induced, copyrigth, alehouse, ssteedman, lzzy, 5j, http://www.zenitcamera.com, copycatting, amoils, icseboard, s-71r, chapter2 part6, wiseass, imazu, lyeth, fifty-plus, gynaecologists, safta, aljbas, flavio, http://www.mltarts.com/, eleven-hour, post-worthy, over-activation, equasis, mac.com, anthrocentric, fdrs, bawating's, spireguy, yeilding, no-spa, catavti, pepperidge, ahlitanah, 292-2028, #example of usage, choirce, http://www.jewsinsports.org/, upcasing, donatist, 1l1one, atpworldtour.com, adjectiveinterestingmight, jobies, level2 basic theory, 5127028887, onpu, almost golden the jess"
"40","teylers, 99.36, blackholes, brach, re-stated, device-under-test, icosicosidodecahedron, impinging, human-caused, 0.009, megagrams, isocratic, wangling, 6/02, rheological, gallium, 20kg, n2o4, parmiggiani, nfpa-70, susceptability, mocy, pelarda, http://www.howmuchdotheyweigh.com, subsaturated, terawattts, narimanov, jhan, 218sq, pound-weight, long-windedness, finite-difference-time-domain, 67.101, 1500-2000, colossally, milliliters, thermal, primary's, 200-2000, co2-e, alsf, thallium, 21b, 1e-12, erruption, wikitus, peicemeal, elfkin, ballscrew, phaneritic, pu-238, gvd, compensates, brej-wey, possibe, collisional, rcic, c7h8, i-131, high-power, capacties, http://phish.net, 3.2812, doubly-heavy, ennico, 105kg, vicat softening point, post-specimen, microengine, subkey, montara, effcient, kepler-10b's, capacies, trichromatic, ti-50, gauquelin, creators-work-group, mechitza, #balanced and differential, mid-block, esoc, 7945, smoulder, inter-reliance, eor, half-thighs, hypo, nobelium, mkiv, water-fuelled, auscultat"
"12","b-49, 1007583, nanoscan, cheeburger, bagel, grocers, conservaci, snuggling, poppets, chact, airport-related, edy's, kabila, knowleadge, wuzhou, kinderprint, quivers, flavoring, @james, erequest, buerr, jamesons, availabale, jancis, srpg, 38:10, non-building, inside-healthcare, afront, kubotans, lucina, 1868-1883, nobu, half-volleyball, alamurai, parinari, intesive, wiggstar, debreu, wapentakes, 1895-1922, game-dependant, viniferas, thermography, molasses, http://media.conagrafoods.com, sub-cult, rrright, barmbrack, /books?id=hpmraaaayaaj, wikicookbook, tackifier, garebage, episode-252-natasha-wheat, pagelegend, stainless, 1897-2004, finchampstead, gurunsi, oblivion.be, 300yds, camboga, amavi, novorossiya, taxogens, ranch's, diagram2, kalamazoo's, lehner, blanc-based, ac911e05, 33's, mimetype, osier, religiously-motivated, fumed, appetizer, abondonment, stroller, sashimi-grade, bulat, 1872-1918, knowall, 15744419, plieshnauzre, salt-laden, nrhp-eligibility, 53.43, bavarai, #quintana, iehc2006, made-in-china, b"
"5","wholly-owned, speedhacks, diseny, wlochowski, vertcoin, msgclass, modelleisenbahn, administraive, www.apple.com, retransmit, run-time, questionno, akai, tokina, behaivour, adapters, nehalem, wiki-fights, 0x01, i-am-not-big-brother, alligment, rohs, 32-bit, stn8815, iso-2022, ownership-issue, 2-bits, misortel, wfsb's, 99,999, 3-chip, tablecurve, 7/09, olish-born, snia, techniclaly, non-optimising, 12-slot, tabecosystems, java's, benthooriya, 360's, 70.70, icem, http://www.woodenboat.com, ecureuils, hazeltine, dual-licensed, http://smallbusiness.findlaw.com, smb1, int max, linux users protest dvd regs, subterranial, vesterled, exerience, pomgallery, eui-48, crash-and-burn, self-timing, usb, wxs, absyss, bracewell-smith, 2,059, releasesbesides, thread-safe, 6400iso, vi-like, sedo's, executable, 2011-05-29, race-oriented, cabling, 30-mpixel, lifecell, vew, sharewareindustryawards.com, mezeo, doubley, yao-hsing, computerchronicles, all-righty, 4-weapons, clockspeed, beckhoff, mpeg-7, masectomy, www.issseem.org, ev"
"19","800bc-300bc, etrus damianus, maksetaan, akhilesh, manjeshwar, googlish, kunai, claw-like, marengo, rahoittavat, tgod, kori-rotti, dmassoc, www.ncfisheries.net, hoiti, unstintingly, dekeh, donto, persoonia, limalautatkin, 1288-1300, sickle-curved, shultze-motel, kelaniya, black-crested, suurta, ipgri, kune, johon, hant, kritosaurus, wiwaxiid, keski-ja, late-developers, vampyyritarinat, aquaticus, http://www.napoleon-series.org, tietty, odontogriphus, rwsellars, biotropica, suosivat, chalisgaon, +91-44-, zebros, dardevil's, http://wais.stanford.edu, sivarathri, mmmmmmmmmm, #bears, punnish, toroweap, vastakauppaperiaate, madhusudan, 48,500-, yervand, ambiederman, aiheuttamiin, pillai's, habiats, nilgai, berlog, all-year-round-sport-isn't, juwon, lobulia, 44015, hathsani, easially, keralacastehistory, lasaraleen, beekeepers, egpyt, dottir, #alanna, farjon, auroch, shradh, upanayan, lamkha, dashbot>, kirtle, plant-pictures, taurotragus, sherburn, bigshots, kondiparru, ndez-jalvo, polyozellus, barcholoee, eriocheir"
"23","homola, what books collect, bachhgot, nhpa, p529, coing, hollleran, toyoshima, diarist, passagen, thyey, samit, vintage-sigma-guitar-ads, highly-cited, tozzi's, 1914-2007, brugman, worry's, http://www.lajollainstitute.org/, annuli, advowsons, falkvinge, scott-davies, theroux, 2014 appendix, zpe, an-yang, 17739, pseudophilosophy, cwallis, 1-74059-523-8, 127-135, cawkell's, supercommittee, izastikup, 9780800645, aemula, omagazine, 153-159, biscup's, 0-06-011082-1, essenes, 5:74-, informsation, existentialists, al-sanei, granshaw, supra-normal, serialising, 18711251, networkworld, wubbulous, 1937-42, kamaldeen, casserley, smit, italiane, riault's, ish ishwar, jpfs, cochin-china, ho-abdullah, linear-chain, linnea, james-errington, woolpit, scienceseg, multivalent, sybilhad, floirida's, 20from, anglo-jewish, yopienso, pseudo-acronym, profusion, showers3, bowerses, brunelle's,  metre , belot, pocket-size, convergent series, faddey, zymurgy, kerouac's, chhattisgarhi, fresonke's, optriunfo, shocken, 7778, 24.187, wik"
"21","cregut, semi-daunting, spaying, non-deleting, 01259806, 36278, urbonas.jp, cuthwine, sooyoung, grayle, downcity, fluor's, midway's, coolsma, zeugirdor, pyrolyser, micawber, tokiwa, yyy-mm-dd, not>/u>, extra-tropical, linkspammers, gaucheness, panama-pacific, 2fgerman border articles, kern32, 5ish, shor, 7-105, apstiprin, lokoja, /search?sourceid=navclient, pleurocoels, 27tab4tabtabtabtab2tab0, antheil, librium, male-dominant, kutay, petrological, poision, jayma's, robertsona, akhal-teke, efeective, bhaasha, lothe,  et sp, ventilatory, mcadoo1964, aprecaited, stormbird, cwo5, ovid plastering, tipmost, rain-fade, 2010-01-02, ameng, breheny-brewer-brewster, para-phrasing, 2161390, manually-coded, episodie, mophology, trebic, 1867-1992, southlake, pedanticness, @gorgecusterssabre, larung, urn-namespaces, 1941-cropped.jp, sturlusson's, meillerie's, ranab, cyberroach, dirrty, 1582934, berfet, thwok, montal, ollstar/ref>>, pediaview, irmoplotz, freak's, kempinski.com, forlang, landrith, markantonatos, anti-populist,"
"1","97.67, pohjalainen, pwns, dumneata, irrlicht, ottawan, musume, ij-ligatuur, sithae, bersten, sheshonq, balkanic, lakoba, agogik, crwth, bridges's, chicaogland, chlamain, ozolins, abjad, sinixt, commercio, deflationist, kaesar, abberley2, latinic, altricial, sathorn, aussie and ted, an-ni, 3fold, termite-man, gik, bioeloyfrench, romowie, lyttleton, pronuciations, smudging, kanye's, abboud, semmeln, jabtsudamba, werter, nemir, vichir, politicising, in1, sxs, sil-mexico, allophones, linb, colville-based, nhg, balto-finnic, makosh, broeders, badhu, mattei, sucesi, enligsh, jehojada, daleclarian, penza, agglutination, skyrta, pa-heh-ro, igloolik, 13,610, momijigari, carnie, synatxful, waisale, not-quite-common, chapelmaster, krech, fell's, odorhei, haruo, http://www.thecolorsofindia.com, mahanta's, glottalic, nasalization, much-invoked, phonological, abstand, tavkar, sayadaw, modern-style, pyekha, daiki, dalds-an-almost-forgotten-dice-board, refur, labials, soumitra, enamels, registrants, tamazight-speakers, mendh"
"6","earps, paragrpahs, prosopographical, chanterelle, re-comission, infinite-state, muesse, ekleme, 20lewis, hache, alanna, familieshttp, vi.wikipedia.org, face's, 5956, traolach, moriyama's, #gle, pressman's, fenner-leit, http://www.tv-eh.com, platt's, p108, #1872, interperted, cloninger, looking-for-person, homossexual, herzman, hyslop, caption5, lashaune, pisani, thay're, keloidosis, qmail.org,  a , frootloops, vehari, appleton, newbie->, labp, sidis, ahsdn, pitstop, lizette, 53,044, lovitz, shinnick, jerrold, allport,  starkey, lukeno94, 20photos, psw news, bordaberry, mabus, entognathy, leonetti, call-sign, firemaking, cailly, billbradleytimemagazine.jp, defeatedly, longaker, e8400, emmbers, stier, brickfielders, semi-together, lilke, harlem's, rwl, muniz, american-flavoured, 1805-1942, alt's, philosphie, aide-de-camp, butiful, 1126-6708, felicia, sydenstricker, siegenthaler, percevals, teaks, atrguments, elspeth, iopside, haldore, thdl, brigitta, #08, delors, nicolette, #1892, jaylen, 7711, 2006-10-01, xiuq"
"24","kunstnerleksikon, month year, saltholm, price-wise, rebane's, ultras, nizhnevartovsk, janawicz, hegelianism, reiners, cantiques, hi5-5, quick-facts, unix-wizards, http-keepalive, freely-edited, contsantinople, anti-hp, huguenots, british army, www gs, non-libre, www.globalterroralert.com, aftenposten, asual, /search?num=20, eleassar, mstislavich, http://motorcyclecolorado.com, deiz, gmpte, 17.6, cpq, selly, brickyard, /search?q=whangamomona, lawhead, perejslaw, oviducts, war-spoils, molossus, anglo-persian, uoc-kp, 18www, lvov, izmaylovo, histioriographical, http://www.politicalusa.com, ill-equipped, ireland-related, 1941-1991, co-villain, mercury , 100415-aviva-group-infographic, barnacles, encyl, star-design, wollin, mwsd6, bialystok, un-unified, syro, mc-1, handbasket, 4004bc, whatch, biyd, pilsudski, neufchateau, glowny, canuck's, matallic, 312the, moskovites, gloamin, sedang, nzders, christiensen, shamhr, name-gloss, 36.86, krais, fichaud, baboy, considereing, scottish-ulster-scot, storhet, non-tehrani, "
"16","darkwing, lowest-grossing, re4, trailerable, console's, anti-tokugawa, game-related, http://milesfilms.net, y0ttabyte, buckbeak, willn't, http://www.puroresufan.com, shoujo-ai, gnomes, seveninches, miura, showboat, sosuishi-ryu, mdk, luigi's, homosuperior, noldorin, cosmogram, jubeat, defently, #touch-screen, lcd-screen, sesquipedalians, doli, matain, approximatly, red-tops, fuckups, 4.37, rotr, nandy, khamhaeng, shapeshifters, fac-worthy, whirlo, chimpanzeeuk, twinner, myiamoto, tram transport in the united kingdom, twentieth anniversary, fylgja, succulently, too-expansive, duifficult, replicants, http://www.autofish.net, sentai, 84.79, bbbb, moba, wyms, conserns, shika, kneale, chozo, image-heaviness, hippogriffs, mystek, frvade's, sven-coop, pif, games's, d-war, 30lbs, non-louisiana, forums.templesmith.com, inu-yasha, ntsb.gov, epidode, wmsimages, game2, mountebank, aniname, wincest, schriftgiesser, sophitia, liefeld, birkin, beginning-and, scanslations, biskit, 21.7651, aion , b-t-w, yandere, repoduction,"
"34","trilogy-related, foregrounds, toplevel, timeline of events involving anonymo, wydown, angamos, harutoki, sanskara, karl-variation, tri-county, romanm, xuangzheng, walvin, casastrophism, elincia, pre-lewis, 54166, memex, caharcter, 0.070, robur, 17.229, reywas92, pan-aryanism, no-till, oddson's, hahahhahaha, hd179949, spinlessness, semi-access, cngei, inititialisms, always-there, extict, shunkinsho, us-russia, 1937-1759, proj, ferriera, upaakarma, pasicles, de-wiki-links, paticence, mnaor, ramones-cd, #apply, transfer-matrix, patrisitics, battlemap, rockcliffe, 1210-1265, eweek, watefort, 1953 - 1957, dgc-2004, unmerged, fsu's, epigenetics-related, alrerady, 22football, 88c-6a, nihoa, opsa, sd-100, bogturtl, ntnu, hec school of management paris, galego-portugues, pino's, isil's, bbbpscheme, daulatabad, 94.9, non-nhs, uuhh, sportsments, informaitont, lar's, rest-of-the-world, shimattandarou, aresv, mosimage, dzbb-tv, mp5k, chromatiques, windler, ufwc, demographist, rimitism, miscategorised, save 100 friends tra"
"14","schlaue, istoriya, 5491-5496, betyder, rnson, desputed, al-kabeer, jsvlwskjh, noordoostelijk, birczanin, http://www.genealogybank.com, sappemeer, hurhs, zie, cloughtab2tab0tab0tab0tab0tab0tab0ta, initial-c, fuently, lanstvo, bipo, ikonbufbvgtdgewshvefwyvxhjkiwgyedtwg, exakt, horse-trading, swbwhnhs, goofey, dreierlei, dgdhdsh, gek, slogged, durchsicht, oiuyhgreihgdishgbuyfdsiuhbniu, maakt, #crusader period, 2667867435, britishlibrary, jhfjjv, 3165.jp, balau, oasenkultur, elend, motha, eingegeben, dq5, tonningen, heimatortausschuss, gampe7, http://www.soundvenue.com, reichsbahn, fdsatoiy, similairly, vierten, plangkan, activiust, kecamatan, micault, rwilugwliufhg, mazurian, menny, godgeleerdheid, engelbrecht, pritchard5, sikorski, beide, 2shy, kruys, oh-ma-ke, massor, 1940er, kk1182-1183, ciocanul's, anti-vaccination, holzkirche, lnische, joailler, natufian, matthew stannard, teori, verlustig, 12265922, stachys the apostle, tillader, repmin, lotslots, baina, seiner, dnvo, http://wild.nhl.com, not-so-terribly, "
"49","27.6, @scout, 1181199, elathur, http://entertainment.timesonline.co, 6,660, who-says-poker-game-skill-11951, 16/10, 15.2, p98, 00:05, danson's, 12:19, ettelaat, -0.3716, 11:08, hedlund, marcas, idbd, uger, 2,783, knight-like, highered, schneidemuhl, come-up, tanjong, conscent, reflexivity, dominguez-rodrigo, 95a, t-41d, 874 1249, 09:08, 27,086, self-flagellation, showstoppers, 24-5, 40,521, 19:54, 5493773, (-8, 2525352, 15.6, scalemajor, hefty-price-tag-for-our-sporting-obs, lemer, jo00925a003, ribonucleoside-5'-phosphates, leake's, maindate, 2005-1, dab1, 42.8, 2030bc, hkpro, 2005-08-10, tabmodel, 852, 2006-05-15, 481 1279, b779, to-be-deleteds, half-senate, template4sf, 19:43, 53.0, kalaka, nell'infobox, ag2teo3, herunter, #cad, 17:29, 2095, 39.36, http://www.allaccess.com, waddle-isms, portugalete, jeanchretien, radiohead's, agremia, kukul-kan, examinertab, cine-concerts, inoperable, 20:53, 556, w126, jq, 2619961, 00495, 60/120, 06:39, kengtung, 6.129, grose, kincheloe, medicredit, non-bishop, forum13, san"
"22","graet, (> <), amwong88, 340th, ageism, hvarekhshaeta, the-origins-of-polymer-mokume-gane, 2004-17-2007, weisnagel, bluejaeger, novelits, kyan's, arranshahik, kck, anygame, ausbio, wiki-lists, wakana, alloy-digital-buys-website-escapist-, cnv.com, less-sourced, sovranty, 44-71-63-55-63-75-83-87-92-112-108-1, 25,400, dab'ed, 167440, miscellania, 39.217668, rsa-230, lookers, 301-303, brandonburg, charlestown-wellington, gimmes, opsy, frontman's, wj's, rsa-220, latinophones, 10251074, indepenedent, nindri, meebo, 25,27, double-categorization, leucosporae, resourcetype, biochemistry-related, requestesd, sidr, nobodys, niobara, rumor-apple-patent-points-to-iphone-, belogradchik, la84, spammming, bethel-mckenzie-3480, semi-personal, eucalptus, hunton, facilitie's, http://last.fm, http://www.vilks.net, divinsky, anglofrench, so-titled, rintworthy, leclair, 72,500, list-class, 1805-44, draftnames, scriptment, flibbygibby-noodle-type, bassoonists, dangui, kw-d, ch10, 27.100, norwegion, icancu, toews, trott's, http://en"
"39","https://www.ipo.gov, nayanmar view, rdir2008, http://www.builderspace.com, etnews, katalog, wktdkbbwjlvwycsm46aa7lbremw, godsis, 906ac1d856f0f8eed66c34307b999755b9bd,  eq, upprecut, 251823 ds, 28864-h, yeg, 9,340, sam-and-max, e3l8, 0.008837, http://www.nicorette.co, http://archives.chicagotribune.com, china.org, gaw, tpoic, http://www.crvenajabuka.com/, d176b6ac-442a-11e4-b437-1a7368204804, maiestatis, nsqi13603e, 520834, http://skyscrapercity.com, 88.106, http://articles.adsabs.harvard.edu, ep052008, jiarui, amblenorthumberland, connie-macks-past-altercations-again, http://www.theaureview.com, ormound, http://www.africa-ata.org, 12125-02-9, review-gift-poems-from-hafiz-great-s, muriel-cooper-polymath-extraordinair, gnis's, 0cdkq6aewaq, determiner phrase, carelios, 0cfqq6aewbq, gnswww, degrum, sociel, sect1, lkjh'jlhkfkhgkhjghjmgnklgpgkghh, 1 republic air increases its stake i, persian-born, cftjp, 04 18, kojirou, commando-helicopter-force-headquarte, http://www.llnl.gov, http://www.thegloss.com, 0cdsq6aewag"
"13","draw-a-person, 16619654, tabfreeman, phtosensitive, viewpont, entheogens, lymphomas, 4-amino-3-methylbutanoic, arthodermatacae, torticollis, blondbomb, neomure, mannans, athophysiology, deoxythymidine, epylepsy, decempeda, rollo44, 4425-9, lithoromist, tcbl, amfonelate, http://www.hindawi.com, cerebelum, blood-2014-04-571232, epigenetic, anti-daniel, hwork, organocatalysis, angiopathy, syndromea, infrared-irradiations, http://pubchem.ncbi.nlm.nih.gov, cognitive-behavioural, scotchgard, bcx4430, five-very-different-major-psych-diso, lymphoma, epithelium, neglectable, c2li2, pmc315888, #skeletal, consul's, hemolytic, nicolini's, glucuronidase, papillosa, editor182, 12729145, bionics, nbc4.com, 48-72, androgens, 270.5234, antimicrobials, silmearendil, upjohn, self-affirmation, 72-81, orthomed, well-delineated, apsey, light-to-moderate, libidus, hermissenda, glutathione, centromere, inckudes, tcm's, riina, unsientific, ikk2, illeum, symptom-free, health-news, 672-83, patthy, patienst, chorea, jon coffelt, maxamol"
